Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     87.85     0.00        8     0.00     0.00  p_GetMaxExpL(spolyrec*, ip_sring*, unsigned long)
  0.00     87.85     0.00        8     0.00     0.00  iiTestConvert(int, int, sConvertTypes*)
  0.00     87.85     0.00        8     0.00     0.00  si_set_signal(int, void (*)(int))
  0.00     87.85     0.00        8     0.00     0.00  p_IsHomogeneous(spolyrec*, ip_sring*)
  0.00     87.85     0.00        8     0.00     0.00  cf_getSmallPrime(int)
  0.00     87.85     0.00        8     0.00     0.00  p_One(ip_sring*)
  0.00     87.85     0.00        8     0.00     0.00  iiConvert(int, int, int, sleftv*, sleftv*, sConvertTypes*)
  0.00     87.85     0.00        8     0.00     0.00  p_Delete(spolyrec**, ip_sring*, ip_sring*)
  0.00     87.85     0.00        8     0.00     0.00  sleftv::listLength()
  0.00     87.85     0.00        7     0.00     0.00  iiArithAddCmd(char const*, short, short, short, short)
  0.00     87.85     0.00        7     0.00     0.00  feInitResource(feResourceConfig_s*, int)
  0.00     87.85     0.00        6     0.00     0.00  feSprintf(char*, char const*, int)
  0.00     87.85     0.00        6     0.00     0.00  sleftv::Data()
  0.00     87.85     0.00        5     0.00     0.00  yyrestart(_IO_FILE*)
  0.00     87.85     0.00        5     0.00     0.00  std::vector<constraint, std::allocator<constraint> >::_M_insert_aux(__gnu_cxx::__normal_iterator<constraint*, std::vector<constraint, std::allocator<constraint> > >, constraint const&)
  0.00     87.85     0.00        5     0.00     0.00  _omAlloc0
  0.00     87.85     0.00        4     0.00     0.00  rHasSimpleOrder(ip_sring*)
  0.00     87.85     0.00        4     0.00     0.00  On(int)
  0.00     87.85     0.00        4     0.00     0.00  idInit(int, int)
  0.00     87.85     0.00        4     0.00     0.00  exitVoice()
  0.00     87.85     0.00        4     0.00     0.00  omAlloc0Large
  0.00     87.85     0.00        3     0.00     0.00  _GLOBAL__sub_I_fractionObjectBin
  0.00     87.85     0.00        3     0.00     0.00  feResource(char, int)
  0.00     87.85     0.00        3     0.00     0.00  s_internalDelete(int, void*, ip_sring*)
  0.00     87.85     0.00        3     0.00     0.00  pGetShallowCopyDeleteProc(ip_sring*, ip_sring*)
  0.00     87.85     0.00        3     0.00     0.00  feFopen(char const*, char const*, char*, short, short)
  0.00     87.85     0.00        3     0.00     0.00  rGetExpSize(unsigned long, int&, int)
  0.00     87.85     0.00        3     0.00     0.00  feCleanUpPath(char*)
  0.00     87.85     0.00        2     0.00     0.00  at_KillAll(idrec*, ip_sring*)
  0.00     87.85     0.00        2     0.00     0.00  p_ProcsSet(ip_sring*, p_Procs_s*)
  0.00     87.85     0.00        2     0.00     0.00  iiCheckPack(sip_package*&)
  0.00     87.85     0.00        2     0.00    43.84  iiExprArithM(sleftv*, sleftv*, int)
  0.00     87.85     0.00        2     0.00     0.00  dynl_sym_warn(void*, char const*, char const*)
  0.00     87.85     0.00        2     0.00     0.00  feGetResource(char, int)
  0.00     87.85     0.00        2     0.00     0.00  feSetOptValue(feOptIndex, int)
  0.00     87.85     0.00        2     0.00     0.00  iiDeclCommand(sleftv*, sleftv*, int, int, idrec**, int, int)
  0.00     87.85     0.00        2     0.00     0.00  dynl_open_binary_warn(char const*, char const*)
  0.00     87.85     0.00        2     0.00     0.00  rOrd_is_Totaldegree_Ordering(ip_sring*)
  0.00     87.85     0.00        2     0.00     0.01  rOrd_is_WeightedDegree_Ordering(ip_sring*)
  0.00     87.85     0.00        2     0.00     0.00  idIs0(sip_sideal*)
  0.00     87.85     0.00        2     0.00     0.00  iiAssign(sleftv*, sleftv*)
  0.00     87.85     0.00        2     0.00     0.00  id_Delete(sip_sideal**, ip_sring*)
  0.00     87.85     0.00        2     0.00     0.00  nInitChar(n_coeffType, void*)
  0.00     87.85     0.00        2     0.00     0.00  nRegister(n_coeffType, int (*)(n_Procs_s*, void*))
  0.00     87.85     0.00        2     0.00     0.00  si_dup2(int, int)
  0.00     87.85     0.00        2     0.00     0.00  idrec::get(char const*, int)
  0.00     87.85     0.00        2     0.00     0.00  sleftv::LData()
  0.00     87.85     0.00        2     0.00     0.00  _omAlloc0
  0.00     87.85     0.00        2     0.00     0.00  _omFindInSortedList
  0.00     87.85     0.00        2     0.00     0.00  _omGetSpecBin
  0.00     87.85     0.00        2     0.00     0.00  _omInsertInSortedList
  0.00     87.85     0.00        2     0.00     0.00  _omIsOnList
  0.00     87.85     0.00        2     0.00     0.00  _omRemoveFromList
  0.00     87.85     0.00        2     0.00     0.00  fe_reset_input_mode
  0.00     87.85     0.00        2     0.00     0.00  omFreeKeptAddrFromBin
  0.00     87.85     0.00        2     0.00     0.00  omGetStickyBinOfBin
  0.00     87.85     0.00        2     0.00     0.00  omIsKnownTopBin
